374.00 125.00 535.00 
375.00 124.00 537.00 
375.00 124.00 537.00 
374.00 127.00 531.00 
374.00 127.00 531.00 
374.00 123.00 532.00 
374.00 123.00 532.00 
376.00 127.00 538.00 
374.00 122.00 540.00 
371.00 126.00 532.00 
371.00 126.00 532.00 
375.00 120.00 533.00 
375.00 120.00 533.00 
372.00 131.00 535.00 
372.00 131.00 535.00 
374.00 122.00 532.00 
374.00 122.00 532.00 
373.00 127.00 536.00 
373.00 127.00 536.00 
372.00 121.00 538.00 
372.00 121.00 538.00 
374.00 124.00 537.00 
374.00 124.00 537.00 
373.00 125.00 528.00 
373.00 125.00 528.00 
374.00 130.00 534.00 
374.00 130.00 534.00 
373.00 124.00 532.00 
373.00 124.00 532.00 
375.00 126.00 534.00 
375.00 126.00 534.00 
369.00 120.00 539.00 
369.00 120.00 539.00 
377.00 123.00 541.00 
377.00 123.00 541.00 
375.00 110.00 545.00 
375.00 110.00 545.00 
352.00 61.00 500.00 
352.00 61.00 500.00 
349.00 118.00 517.00 
349.00 118.00 517.00 
326.00 163.00 537.00 
326.00 163.00 537.00 
300.00 202.00 532.00 
300.00 202.00 532.00 
296.00 243.00 517.00 
296.00 243.00 517.00 
297.00 260.00 529.00 
297.00 260.00 529.00 
301.00 273.00 508.00 
301.00 273.00 508.00 
322.00 287.00 469.00 
322.00 287.00 469.00 
366.00 293.00 456.00 
366.00 293.00 456.00 
394.00 305.00 477.00 
394.00 305.00 477.00 
413.00 300.00 480.00 
413.00 300.00 480.00 
426.00 292.00 498.00 
426.00 292.00 498.00 
416.00 296.00 509.00 
416.00 296.00 509.00 
393.00 289.00 540.00 
393.00 289.00 540.00 
390.00 286.00 545.00 
390.00 286.00 545.00 
393.00 266.00 554.00 
393.00 266.00 554.00 
386.00 274.00 556.00 
386.00 274.00 556.00 
402.00 293.00 534.00 
402.00 293.00 534.00 
397.00 299.00 500.00 
397.00 299.00 500.00 
391.00 301.00 487.00 
391.00 301.00 487.00 
379.00 306.00 485.00 
379.00 306.00 485.00 
370.00 297.00 484.00 
